OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,Tpositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive.6.16,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Median Age for Chart
1,1,21,41,GILCHRIST,Gilchrist,FL,681,12,12,73,84,91,99,109,96,69,36,0,0 to 118,52,413,257,11,681,0,0,8,641,2,43,1,26,655,0,0,681,25,1,0,0,12,14,0,26,1,0,5,3,3,4,7,2,1,0,0,1 to 79,46,19,1,2,4,2,21,3,2,0,0,0,0,0,26,14,12,26,0,0,1269,0,1296,1269,26,0,63,46,920490830,148547.348,50
2,2,54,107,PUTNAM,Putnam,FL,3428,69,112,314,490,425,542,582,425,297,161,11,0 to 118,50,2165,1221,42,3420,8,0,75,3118,133,274,22,191,3234,1,2,3417,119,72,0,0,119,72,0,191,1,19,21,26,29,31,21,20,16,7,0,3 to 98,43,103,79,9,0,8,181,2,43,0,25,0,0,6,191,72,119,191,0,0,4573,8,4773,4581,191,6,182,113,2142439483,232574.9257,42
3,3,62,123,TAYLOR,Taylor,FL,878,33,19,77,129,111,112,158,141,71,23,4,0 to 118,50,485,362,31,870,8,0,16,759,3,134,23,59,818,1,0,869,47,11,1,0,19,39,0,58,0,1,12,20,10,2,7,3,4,0,0,6 to 84,32,38,3,15,2,21,34,3,11,0,6,0,0,0,59,39,20,58,1,0,1176,7,1244,1183,59,0,143,41,2685252568,267348.179,47
4,4,46,91,OKALOOSA,Okaloosa,FL,6934,162,143,525,1002,983,908,1065,809,729,569,39,0 to 119,52,4231,2661,42,6793,140,1,133,6400,137,325,69,337,6597,0,0,6794,232,97,4,4,179,150,0,329,6,17,26,62,53,46,53,35,25,14,0,0 to 96,45,263,39,19,8,96,225,8,81,2,49,1,0,6,337,155,182,328,8,1,9697,132,10173,9829,337,6,769,364,2369222670,330553.1603,58
5,5,7,13,CALHOUN,Calhoun,FL,532,5,4,43,47,78,74,90,83,71,36,1,0 to 99,56,317,197,18,532,0,0,4,441,4,54,3,66,466,0,0,532,49,17,0,0,51,15,0,66,0,0,6,4,4,2,3,7,20,20,0,20 to 99,78,47,11,0,8,0,53,13,12,0,6,0,0,5,66,15,51,66,0,0,641,0,709,641,66,5,94,32,1487626835,192207.8903,52
6,6,50,99,PALM BEACH,Palm Beach,FL,68111,1010,1498,4755,8083,8066,9590,11718,10529,7396,3868,1598,0 to 119,55,37450,30384,277,67350,759,2,2074,62093,465,6627,341,9015,58760,196,140,67019,8755,142,112,6,4436,4453,8,8897,132,321,1044,1493,1399,1387,1225,831,677,500,6,0 to 104,45,3877,1628,1439,1953,3030,3799,2068,1915,31,1413,22,13,429,9015,4520,4487,8895,118,2,98665,638,108553,99303,9015,429,2069,1804,5710098601,464192.4597,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,10027,167,197,646,1196,1231,1531,1782,1655,1071,520,31,0 to 119,55,5760,4056,211,9880,147,0,391,8806,188,1110,73,926,9019,4,78,9798,840,75,11,0,484,430,1,915,16,26,84,159,132,155,139,97,67,51,0,0 to 97,48,334,184,82,315,129,421,365,192,1,136,2,0,36,926,435,490,915,11,0,16577,136,17644,16713,926,36,225,210,1499679487,252832.3233,58
8,8,51,101,PASCO,Pasco,FL,13491,261,322,959,1579,1811,2133,2406,2135,1299,558,28,0 to 119,53,7899,5550,42,13416,75,0,201,12751,223,625,107,543,12928,2,18,13396,484,48,10,1,290,242,0,532,9,17,68,74,96,98,71,71,22,17,0,0 to 94,46,331,75,72,54,114,351,67,117,4,91,3,1,15,543,248,295,532,11,0,23581,64,24198,23645,543,15,968,417,1975344274,225211.5008,48
9,9,20,39,GADSDEN,Gadsden,FL,2905,49,91,207,487,497,510,458,383,140,81,2,0 to 119,47,2020,872,13,2887,17,1,31,2659,46,311,15,305,2599,1,0,2887,292,9,4,0,222,79,0,301,3,6,18,65,71,60,31,27,14,10,0,0 to 98,43,121,128,15,37,32,219,50,56,0,52,0,0,4,305,79,226,300,4,1,4819,13,5143,4832,305,4,365,171,1367889846,205127.3307,45
10,10,37,73,LEON,Leon,FL,12825,187,295,1481,2105,1896,1979,2110,1724,675,342,31,0 to 119,47,6649,6045,131,12591,233,1,162,12088,201,521,87,474,12334,3,14,12575,433,10,30,1,237,206,0,443,2,13,128,91,63,63,68,32,10,4,0,0 to 91,36,152,252,11,28,22,384,37,85,11,46,9,7,8,474,222,252,442,31,1,20534,202,21215,20736,474,8,699,281,1817477697,246081.9096,43
11,11,33,65,JEFFERSON,Jefferson,FL,562,12,12,20,43,75,79,117,121,65,17,1,0 to 101,58,335,222,5,557,5,0,7,489,41,71,7,32,530,0,0,557,9,21,2,0,18,12,0,30,1,0,1,2,2,4,7,7,4,4,0,1 to 95,58,10,14,6,0,4,25,1,4,2,8,0,0,4,32,14,18,30,2,0,900,3,936,903,32,4,59,21,1581350102,228391.5654,66
12,12,40,79,MADISON,Madison,FL,1027,43,33,85,112,124,140,151,176,107,49,7,0 to 99,53,652,368,7,1004,23,0,24,891,53,225,14,82,944,1,0,1003,35,43,4,0,45,33,0,78,3,0,9,4,11,9,20,10,5,11,0,0 to 98,57,22,44,6,6,3,59,16,15,0,4,0,1,3,82,34,48,78,4,0,1383,19,1486,1402,82,3,142,39,1853116752,219176.1975,56
13,13,39,77,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,84,0,220,1995,0,0,2215,217,3,0,0,5,215,0,220,0,0,13,58,54,54,36,5,0,0,0,20 to 73,41,115,97,5,3,7,132,81,5,0,1,0,0,1,220,215,5,220,0,0,2081,0,2303,2081,220,1,39,14,2183538740,308797.5012,49
14,14,24,47,HAMILTON,Hamilton,FL,1960,13,21,155,531,407,314,238,166,69,42,4,0 to 118,41,423,1507,30,1954,6,0,32,1859,9,271,5,272,1688,0,0,1954,261,8,2,1,31,238,0,269,2,4,26,82,56,50,40,9,3,0,0,0 to 84,38,120,121,26,2,37,87,145,22,1,7,0,0,2,272,240,32,269,3,0,2100,3,2376,2103,272,2,15,13,1344926538,232510.6199,50
15,15,3,5,BAY,Bay,FL,3221,38,31,209,392,424,534,621,443,288,186,55,0 to 119,54,1801,1366,54,3188,33,0,64,3063,28,174,45,153,3041,0,27,3166,115,30,8,0,64,81,0,145,3,1,16,30,21,34,22,13,12,1,0,2 to 93,47,119,13,6,7,44,91,10,41,3,19,2,1,4,153,85,68,145,8,0,5477,20,5653,5497,153,4,50,42,1930770661,558412.9908,50
16,16,12,23,COLUMBIA,Columbia,FL,3396,86,100,236,404,422,444,664,546,286,199,9,0 to 119,55,1920,1376,100,3381,15,0,189,3062,63,280,16,183,3210,0,3,3378,151,30,2,0,91,90,0,181,5,10,21,40,27,32,28,12,5,3,0,0 to 97,40,85,82,12,2,15,160,6,7,0,15,0,0,2,183,92,91,181,2,0,4756,13,4958,4769,183,2,10,8,2068684690,276060.4309,46
17,17,2,3,BAKER,Baker,FL,884,30,14,95,131,120,143,148,103,66,32,2,0 to 99,48,490,341,53,824,60,0,22,839,16,63,3,30,854,0,0,824,10,20,0,0,18,12,0,30,0,0,3,3,4,1,5,6,5,3,0,20 to 97,63,21,7,2,0,0,29,1,8,0,11,0,0,4,30,12,18,30,0,0,1279,60,1369,1339,30,4,10,9,1520245938,183737.3547,70
18,18,30,59,HOLMES,Holmes,FL,775,12,13,58,89,93,128,149,148,63,21,1,0 to 119,54,438,322,15,765,10,0,3,738,5,39,4,31,744,0,0,765,16,14,0,1,15,15,0,30,1,0,2,5,10,7,2,3,1,0,0,1 to 79,42,23,3,1,3,0,26,4,4,0,1,0,0,0,31,15,16,30,1,0,1031,9,1072,1040,31,0,53,48,1251550191,175658.6203,44
19,19,43,85,MARTIN,Martin,FL,7238,134,161,503,718,820,919,1332,1335,932,362,22,0 to 100,57,3553,3211,474,7145,93,0,255,6367,82,893,71,1218,6011,1,8,7137,1193,12,13,0,547,650,8,1205,44,66,179,216,226,196,144,63,51,31,2,0 to 99,39,409,47,390,359,606,279,320,193,2,119,1,1,18,1218,659,551,1205,13,0,11444,79,12748,11523,1218,18,83,72,1686613017,308980.4875,55
20,20,29,57,HILLSBOROUGH,Hillsborough,FL,53127,1237,1454,4362,7911,7661,8259,9143,7313,3931,1750,106,0 to 119,49,30455,22438,234,52720,407,0,699,50755,458,2207,310,3826,49225,23,53,52645,3637,127,59,3,2009,1754,1,3764,76,136,501,779,580,555,489,330,223,153,4,0 to 104,42,1418,804,675,867,993,1706,1065,759,11,540,8,3,99,3826,1782,2043,3764,62,0,80286,344,84534,80630,3826,99,1353,1005,2746844886,358788.307,45
21,21,41,81,MANATEE,Manatee,FL,15475,260,316,851,1423,1586,2024,2940,3260,2016,696,103,0 to 119,59,8813,6348,314,15230,245,0,637,14179,177,1266,45,1421,14050,4,0,15226,1353,58,10,0,765,640,6,1411,23,51,121,199,212,212,203,167,146,87,0,0 to 101,49,916,215,122,158,460,742,209,171,2,237,2,2,115,1421,645,770,1411,10,0,25958,235,27624,26193,1421,115,264,166,1945653927,371198.1714,57
22,22,10,19,CLAY,Clay,FL,8225,119,200,618,947,1139,1342,1474,1301,759,305,21,0 to 101,53,4750,3366,109,8204,21,0,107,7751,130,485,46,440,7784,1,0,8203,377,60,3,0,255,182,0,437,0,5,32,47,55,64,77,76,53,31,0,6 to 95,57,248,87,43,59,36,324,77,127,0,96,0,0,32,440,183,257,437,3,0,12759,18,13221,12777,440,32,256,223,1667659897,183856.4843,59
23,23,25,49,HARDEE,Hardee,FL,950,24,48,120,171,119,122,137,121,62,26,0,0 to 94,44,533,400,17,943,7,0,41,626,2,234,6,205,744,1,0,942,185,15,5,0,95,105,0,200,5,12,30,48,30,23,21,22,9,5,0,0 to 88,37,126,50,17,7,119,73,8,36,3,23,3,1,0,205,108,97,200,5,0,1346,2,1554,1348,205,0,332,241,1653184152,165534.7301,50
24,24,42,83,MARION,Marion,FL,13857,155,190,847,1549,1616,2034,2441,2603,1703,694,25,0 to 168,57,8509,5301,47,13830,27,0,4155,9267,177,2826,141,315,13285,0,257,13574,289,21,4,1,176,134,0,310,6,7,21,45,57,54,61,37,20,7,0,0 to 97,49,217,66,19,8,59,243,8,62,3,43,0,0,8,315,135,180,310,5,0,18475,21,18818,18496,315,8,394,229,4305055842,350920.1907,51
25,25,64,127,VOLUSIA,Volusia,FL,20230,170,300,1045,2028,2176,2908,4203,3936,2153,1026,285,0 to 119,58,11317,8195,718,20134,96,0,266,19259,230,876,138,946,19284,0,0,20134,795,137,13,1,466,466,0,932,4,26,92,128,115,146,163,144,70,58,0,0 to 102,52,508,220,148,56,120,724,88,242,5,172,4,0,48,946,472,474,932,14,0,29130,82,30173,29212,946,48,961,348,3125661534,560414.7378,53
26,26,15,29,DIXIE,Dixie,FL,805,21,27,65,88,133,106,136,120,68,40,1,0 to 118,52,476,311,18,805,0,0,11,695,6,73,1,60,745,0,0,805,44,16,0,0,29,31,0,60,0,3,12,2,11,11,10,3,5,3,0,6 to 91,48,44,14,1,1,1,57,2,13,0,10,0,0,3,60,31,29,60,0,0,1145,0,1205,1145,60,3,110,55,1823798262,235232.9731,46
27,27,35,69,LAKE,Lake,FL,15155,209,237,779,1383,1471,1877,2465,2819,1998,659,1258,0 to 103,59,7944,6130,1081,15019,136,0,158,14546,222,492,93,482,14659,0,14,15007,451,16,15,0,216,250,1,467,2,13,51,84,70,80,65,59,47,11,0,1 to 103,48,251,66,106,44,107,308,52,134,12,80,5,1,16,482,259,222,467,15,0,23339,119,23952,23458,482,16,528,237,2995995461,331014.2425,52
28,28,38,75,LEVY,Levy,FL,1681,26,27,156,214,182,221,326,263,186,79,1,0 to 118,55,986,678,17,1680,1,0,21,1462,16,266,2,101,1580,0,0,1680,98,3,0,0,33,68,0,101,1,1,21,27,19,7,12,7,3,3,0,3 to 99,35,30,8,57,6,58,37,6,12,0,6,0,0,1,101,68,33,101,0,0,2514,1,2617,2515,101,1,173,123,2900663691,339394.964,53
29,29,60,119,SUMTER,Sumter,FL,3834,27,27,90,171,181,296,511,1421,891,133,86,0 to 119,69,1878,1752,204,3759,75,0,113,3472,164,273,55,267,3544,0,23,3736,217,48,1,1,77,188,0,265,0,2,7,6,33,40,40,90,40,9,0,10 to 92,65,223,34,5,3,17,242,6,58,0,45,0,0,17,267,190,77,265,2,0,5660,73,6005,5733,267,17,61,49,1502516063,229328.3896,66
30,30,59,117,SEMINOLE,Seminole,FL,16713,214,381,1346,2081,2234,2595,2831,2484,1174,503,870,0 to 119,51,9506,7078,129,16676,37,0,280,15939,246,608,99,790,15917,1,5,16670,732,49,9,0,411,370,0,781,12,15,171,142,112,121,80,76,37,24,0,0 to 100,39,488,93,85,115,223,386,172,223,5,127,1,0,13,790,373,417,781,9,0,26597,28,27427,26625,790,13,601,358,893350621.6,158549.7703,47
31,31,48,95,ORANGE,Orange,FL,62628,1100,1425,4855,8872,9245,10003,10241,7373,3488,1331,4695,0 to 120,48,34599,27709,320,61567,1060,1,693,60438,585,1846,402,3282,59315,0,31,61537,3078,102,98,4,1511,1663,6,3180,55,92,562,701,577,569,415,191,84,36,0,0 to 101,38,1085,573,845,677,1034,1202,944,717,45,370,37,5,46,3282,1720,1556,3179,102,1,92080,958,96377,93038,3282,46,952,728,2601855780,275135.9115,45
32,32,9,17,CITRUS,Citrus,FL,3868,38,66,179,354,345,449,716,904,616,192,9,0 to 222,62,2148,1518,202,3861,7,0,57,3566,119,236,25,150,3716,1,1,3860,83,67,0,0,74,76,0,150,2,4,14,13,10,20,37,22,17,11,0,0 to 97,58,108,8,8,26,16,108,26,31,0,33,0,0,12,150,76,74,150,0,0,7424,6,7583,7430,150,12,566,112,1565249379,242867.2738,58
33,33,27,53,HERNANDO,Hernando,FL,3510,65,59,242,470,435,532,665,538,370,130,4,0 to 100,54,2103,1393,14,3491,19,0,68,3291,66,174,41,141,3369,0,0,3491,84,51,5,1,65,70,0,135,1,6,8,32,18,20,28,16,10,2,0,1 to 88,47,112,17,6,0,30,102,3,43,2,27,2,1,5,141,72,69,135,6,0,6664,13,6819,6677,141,5,214,163,1259956856,200494.1674,49
