DisNum,DisName,Attendance,TotGradRate ,LunchGradRate ,ELL.GradRate ,MigrantGradRate,AtRiskGradRate ,AvgSalary,NumEmployed
1,ALACHUA,0.936651883,88.5,80.8,88.4,*,72.4," $                     48,840.99 ",1582
2,BAKER,0.931175967,78.8,73.7,,,54.8," $                     44,350.05 ",303
3,BAY,0.916390893,82.5,72.1,58.3,66.7,58.6," $                     45,598.25 ",1652
4,BRADFORD,0.907596177,87.7,86,,,78," $                     42,536.28 ",220
5,BREVARD,0.947897615,88.3,82.4,75.1,,68.5," $                     48,742.77 ",4722
6,BROWARD,0.937409765,86.2,82.5,74,*,70.4," $                     51,686.10 ",15720
7,CALHOUN,0.914140401,87.9,86.5,,,74.1," $                     39,973.35 ",142
8,CHARLOTTE,0.939337019,86.4,82.7,77.8,,66.8," $                     51,024.69 ",975
9,CITRUS,0.923342194,86,83.7,78.6,*,61.6," $                     48,149.30 ",986
10,CLAY,0.937393356,91.9,86.9,87,,81.2," $                     47,194.37 ",2621
11,COLLIER,0.953522095,91.9,88.7,79.4,88.1,76.2," $                     54,518.27 ",3136
12,COLUMBIA,0.927012192,92.4,90.2,*,*,81.7," $                     44,860.57 ",629
13,MIAMI-DADE,0.939420488,85.6,84.9,74.7,80.6,71.3," $                     51,153.50 ",19071
14,DESOTO,0.938138799,71.3,65.2,22.2,50,54.9," $                     45,832.34 ",263
15,DIXIE,0.915558787,90.6,92.1,*,,83.9," $                     44,079.89 ",127
16,DUVAL,0.925281834,86.5,81.7,80.4,,77.1," $                     47,847.44 ",7649
17,ESCAMBIA,0.928550243,84.8,78.2,77.8,*,67.1," $                     44,426.63 ",2352
18,FLAGLER,0.937104109,88.7,85.3,68.8,,69.5," $                     52,119.81 ",714
19,FRANKLIN,0.916324201,70.6,63.6,*,*,50," $                     41,440.89 ",76
20,GADSDEN,0.948290201,60.4,62.6,7.7,*,47.2," $                     38,565.57 ",369
21,GILCHRIST,0.941992569,89.4,88.2,*,*,60.9," $                     48,992.25 ",155
22,GLADES,0.930115189,91.4,83.3,,*,80," $                     49,540.45 ",147
23,GULF,0.924057488,83.6,80.9,*,,82.8," $                     46,387.60 ",127
24,HAMILTON,0.899744159,73.1,67.8,*,*,65.3," $                     42,100.49 ",93
25,HARDEE,0.936823018,81.2,80.2,62.5,81.3,73.4," $                     46,071.53 ",308
26,HENDRY,0.923819835,83.7,81.3,65.8,76.3,68.4," $                     45,877.13 ",415
27,HERNANDO,0.932194172,88.4,86.3,80.4,,75.4," $                     48,398.33 ",1518
28,HIGHLANDS,0.931560557,81.2,78.2,41.5,86.7,60.2," $                     48,081.14 ",734
29,HILLSBOROUGH,0.941730067,86.2,80.6,76.9,87.9,72.4," $                     52,259.94 ",14378
30,HOLMES,0.927727615,85.5,79.8,*,,65.4," $                     43,579.44 ",221
31,INDIAN RIVER,0.927452949,88.5,82.6,64.7,*,72.5," $                     48,694.13 ",1143
32,JACKSON,0.912441028,84.7,81.4,*,*,71.7," $                     42,311.97 ",444
33,JEFFERSON,0.905190943,62.7,61.9,,*,58.3," $                     50,375.45 ",55
34,LAFAYETTE,0.925526184,98.8,97.5,,,*," $                     50,225.92 ",70
35,LAKE,0.931941913,86.8,82.2,85.3,*,71.4," $                     45,856.37 ",2792
36,LEE,0.9330073,83.7,79.7,60.9,73.1,63.4," $                     48,233.28 ",5540
37,LEON,0.928593682,92.4,86,90.9,*,76.2," $                     45,658.26 ",2050
38,LEVY,0.924319766,88.1,83.2,76.9,90,77," $                     43,182.37 ",306
